S.N,State,No of Registered voters,No of Collected PVCs,No of PVCs not collected
1,,1932892,1729943,202949
2,,1973083,1788706,184377
3,,2119727,1933362,186365
4,,2447996,2071714,376282
5,,2462843,2335717,127126
6,,923182,769509,153673
7,,2480131,2244376,235755
8,,2315956,2000228,315728
9,,1527289,1387314,139975
10,,2845274,2470924,374350
11,,1459933,1299048,160885
12,,2210534,1726738,483796
13,,909967,666591,243376
14,,1944016,1787537,156479
15,,1344856,1026920,317936
16,,1394393,1335223,59170
17,,2272293,1702178,570115
18,,2111106,1625721,485385
19,,3932492,3648831,283661
20,,5457747,4696747,761000
21,,3230230,3187988,42242
22,,1806231,1718180,88051
23,,1646350,1435751,210599
24,,1406457,1149969,256488
25,,6570291,5531389,1038902
26,,1617786,1442184,175602
27,,2390035,2173204,216831
28,,2375003,1694867,680136
29,,1822346,1478460,343886
30,,1680498,1266587,413911
31,,2934107,2176352,757755
32,,2480455,2095409,385046
33,,3215273,2833101,382172
34,,1903166,1726887,176279
35,,1777105,1729094,48011
36,,1365913,1261914,103999
37,,1717128,1626839,90289
