lgacode,lganame,statecode,source,statename,capitalcity,geozone,longitude,latitude
27011,Kontagora,NI,EHA_ABRAHAM,Niger,Minna,North Central,5.589916706,10.68407154
27015,Mariga,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.016665567,11.11828903
25004,Amuwo Odofin,LA,NGA_TEAMGIS,Lagos,Lagos,South West,3.264757156,6.481712341
25002,Ajeromi/Ifelodun,LA,NGA_TEAMGIS,Lagos,Lagos,South West,3.321064472,6.460388184
25018,Surulere,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.343013254,6.489195443
31014,Ido,OY,EHA-ABRAHAM,Oyo,Ibandan,South West,3.694976725,7.651204345
30013,Ife North,OS,GRID,Osun,Oshogbo,South West,4.397731956,7.250623865
30012,Ife East,OS,GRID,Osun,Oshogbo,South West,4.593132353,7.380299207
31020,Lagelu,OY,EHA_ABRAHAM,Oyo,Ibandan,South West,4.075807606,7.653036076
18030,Sule Tankarkar,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,9.057519298,12.84520593
18016,Gagarawa,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,9.56266474,12.57888288
26013,Wamba,NA,GRID,Nasarawa,Lafia,North Central,8.763680618,9.101872454
26004,Karu,NA,GRID,Nasarawa,Lafia,North Central,7.592183829,8.929308052
31002,Akinyele,OY,EHA-ABRAHAM,Oyo,Ibandan,South West,4.063088472,7.651143906
26007,Kokona,NA,GRID,Nasarawa,Lafia,North Central,7.903106518,8.812429912
26008,Lafia,NA,GRID,Nasarawa,Lafia,North Central,8.900775275,8.752103124
26005,Keana,NA,WHO,Nasarawa,Lafia,North Central,8.959122658,8.281416893
17019,Okigwe,IM,GRID,Imo,Owerri,South East,7.382353029,5.702905906
17027,Onuimo,IM,GRID,Imo,Owerri,South East,7.207482467,5.714013342
7006,Guma,BE,GRID,Benue,Makurdi,North Central,8.948965534,7.806773959
26002,Awe,NA,GRID,Nasarawa,Lafia,North Central,9.035845514,8.067906588
122,Mobbar,BR,Oluseye.Abraham,Borno,Maiduguri,North East,12.63303011,13.28681322
108,Dikwa,BR,Oluseye.Abraham,Borno,Maiduguri,North East,14.04496228,12.08008484
16001,Akko,GO,GRID,Gombe,Gombe,North East,10.83744717,10.39559078
16007,Kaltungo,GO,GRID,Gombe,Gombe,North East,11.47987041,10.00121682
16003,Billiri,GO,GRID,Gombe,Gombe,North East,11.23648739,9.813784599
121,Marte,BR,EHA-SAMUEL,Borno,Maiduguri,North East,13.99233374,12.33887307
125,Ngala,BR,Abraham.Oluseye,Borno,Maiduguri,North East,14.20023413,12.50210817
25001,Agege,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.30210768,6.635380162
25003,Alimosho,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.240007639,6.616025448
25005,Apapa,LA,NGA_TEAMGIS,Lagos,Lagos,South West,3.35534953,6.46029296
25019,Lagos Mainland,LA,EHA-SAMUEL,Lagos,Lagos,South West,3.349546921,6.503412421
25014,Mushin,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.336402427,6.531686665
25016,Oshodi/Isolo,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.288542509,6.534671783
31001,Afijio,OY,WHO,Oyo,Ibandan,South West,4.072491646,7.808732986
4021,Oyi,AN,GRID,Anambra,Awka,South East,6.889617852,6.245164514
4003,Anambra West,AN,GRID,Anambra,Awka,South East,6.675435146,6.465829283
4011,Idemili South,AN,GRID,Anambra,Awka,South East,6.943911015,6.093231056
4002,Anambra East,AN,GRID,Anambra,Awka,South East,6.821009356,6.298899774
4004,Anaocha,AN,GRID,Anambra,Awka,South East,7.008857136,6.148301048
31023,Ogo Oluwa,OY,WHO,Oyo,Ibandan,South West,4.284803391,8.046435356
30010,Ejigbo,OS,GRID,Osun,Oshogbo,South West,4.147759506,7.849819633
30026,Ola Oluwa,OS,GRID,Osun,Oshogbo,South West,4.284803457,7.673669625
11002,Afikpo North,EB,EHA_ABRAHAM,Ebonyi,Abakaliki,South East,7.979213238,5.965697765
9006,Biase,CR,GRID,Cross River,Calabar,South South,8.036915755,5.33406745
9001,Abi,CR,GRID,Cross River,Calabar,South South,8.045115323,5.834470156
14009,Igbo-Eze-South,EN,WHO,Enugu,Enugu,South East,7.490959167,6.909144402
4018,Onitsha South,AN,WHO,Anambra,Awka,South East,6.786333084,6.123458385
30019,Ilesha West,OS,GRID,Osun,Oshogbo,South West,4.708309543,7.587335959
29014,Okitipupa,ON,WHO,Ondo,Akure,South West,4.86796999,6.586525917
12012,Oredo,ED,WHO,Edo,Benin City,South South,5.462244987,6.099954128
12003,Esan North-East,ED,WHO,Edo,Benin City,South South,6.487065792,6.922283173
12008,Etsako East,ED,WHO,Edo,Benin City,South South,6.485763073,7.341996193
505,Bagudu,KB,EHA-MICHAEL,Kebbi,Birnin Kebbi,North West,3.775545374,11.60637473
29011,Ile Oluji/Okeigbo,ON,EHA-OLUSEYE,Ondo,Akure,South West,5.035132885,7.372309208
518,Suru,KB,EHA-TOSIN,Kebbi,Birnin Kebbi,North West,4.151580459,12.07414871
514,Maiyama,KB,EHA-SAMUEL,Kebbi,Birnin Kebbi,North West,4.244795099,12.30427354
9004,Bakassi,CR,GRID,Cross River,Calabar,South South,8.343891188,4.74669435
10012,Ndokwa West,DE,WHO,Delta,Asaba,South South,6.479153156,5.985262871
519,Wasagu-Danko,KB,EHA-MICHAEL,Kebbi,Birnin Kebbi,North West,5.720743127,11.68775051
29007,Ese Odo,ON,WHO,Ondo,Akure,South West,5.015618801,6.292353153
421,Katsina,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.669285327,13.0810345
23021,Yagba West,KO,WHO,Kogi,Lokoja,North Central,5.688176632,8.452851295
10006,Ethiope West,DE,WHO,Delta,Asaba,South South,5.764177322,5.997814178
801,Anka,ZA,EHA-OLUSEYE,Zamfara,Gusau,North West,5.8924,12.2434
10019,Ughelli North,DE,EHA-OLUSEYE,Delta,Asaba,South South,6.136820793,5.739002228
29012,Irele,ON,WHO,Ondo,Akure,South West,5.122329712,6.698738575
29004,Akoko South West,ON,WHO,Ondo,Akure,South West,5.82348299,7.495887756
10007,Ika North East,DE,WHO,Delta,Asaba,South South,6.375341892,6.239600182
10023,Warri North,DE,EHA-MICHAEL,Delta,Asaba,South South,5.142962933,6.143306732
29003,Akoko South East,ON,WHO,Ondo,Akure,South West,5.950448036,7.344475269
23002,Ajaokuta,KO,WHO,Kogi,Lokoja,North Central,6.755282879,7.730327129
6002,Ekeremor,BY,EHA-MICHAEL,Bayelsa,Yenagoa,South South,5.959865093,5.100848198
23009,Ijumu,KO,EHA-OLUSEYE,Kogi,Lokoja,North Central,6.076341152,7.754534245
6001,Brass,BY,EHA-MICHAEL,Bayelsa,Yenagoa,South South,6.574090481,4.709374905
23001,Adavi,KO,WHO,Kogi,Lokoja,North Central,6.710334778,7.786450863
15004,Kuje,FC,EHA-OLUSEYE,"Fct, Abuja",Abuja,North Central,7.126719294,8.927460611
19005,Ikara,KD,EHA-OLUSEYE,Kaduna,Kaduna,North West,8.102155055,11.52327987
609,Isa,SO,EHA-OLUSEYE,Sokoto,Sokoto,North West,6.088256028,13.37576122
12006,Esan West,ED,EHA-OLUSEYE,Edo,Benin City,South South,6.246152878,6.827006817
11006,Ezza South,EB,WHO,Ebonyi,Abakaliki,South East,8.139165995,6.193788464
23010,Kabba/Bunu,KO,EHA-OLUSEYE,Kogi,Lokoja,North Central,6.496150494,8.163342476
10008,Ika South,DE,EHA-OLUSEYE,Delta,Asaba,South South,6.197598934,6.282746315
10021,Ukwuani,DE,WHO,Delta,Asaba,South South,6.166832447,5.726475716
23014,Ofu,KO,WHO,Kogi,Lokoja,North Central,6.813199043,7.45298481
23008,Igalamela-Odolu,KO,WHO,Kogi,Lokoja,North Central,7.307423592,7.183321476
15005,Kwali,FC,EHA-OLUSEYE,"Fct, Abuja",Abuja,North Central,7.025070748,8.932248279
33011,Etche,RI,WHO,Rivers,Port Harcourt,South South,7.242135048,5.195867062
10001,Aniocha North,DE,WHO,Delta,Asaba,South South,6.581527233,6.291166782
431,Sabuwa,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.107757615,11.55093242
414,Funtua,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.192496738,11.58788405
24007,Ilorin South,KW,EHA-OLUSEYE,Kwara,Ilorin,North Central,4.63412714,8.442228317
3006,Etim Ekpo,AK,WHO,Akwa Ibom,Uyo,South South,7.714657784,4.998222828
423,Kusada,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.962494316,12.57722026
27003,Bida,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.018314231,9.058886516
3013,Ikot Abasi,AK,EHA-SAMUEL,Akwa Ibom,Uyo,South South,7.688864231,4.708866119
418,Kaita,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.818427165,13.2861977
3019,Nsit Atai,AK,WHO,Akwa Ibom,Uyo,South South,8.089216232,4.869660854
20018,Ungogo,KN,EHA-SAMUEL,Kano,Kano,North West,8.543063113,12.13662527
